t	M1	Error1	M2	Error2	M3	Error3	M4	Error4
54684.7907	15.700	0.005	17.026	0.010	18.868	0.014	19.231	0.012
54684.7962	15.706	0.005	17.024	0.011	18.856	0.015	19.250	0.014
54687.8010	15.725	0.004	17.060	0.010	18.828	0.012	19.305	0.012
54688.7754	15.711	0.005	16.985	0.011	18.876	0.015	19.254	0.014
54688.7810	15.706	0.005	17.045	0.011	18.876	0.015	19.251	0.014
54700.7032	15.671	0.006	17.060	0.015	18.946	0.020	19.122	0.016
54700.7087	15.692	0.006	16.991	0.013	18.857	0.018	19.231	0.017
54707.6965	15.672	0.005	17.042	0.010	18.659	0.012	19.161	0.011
54707.7021	15.671	0.005	17.030	0.010	18.873	0.013	19.201	0.011
54717.6648	15.656	0.005	17.018	0.012	18.830	0.015	19.197	0.014
54717.6704	15.662	0.005	16.968	0.011	18.836	0.014	19.179	0.013
54728.6712	15.648	0.006	16.991	0.016	18.828	0.021	19.249	0.020
54728.6768	15.652	0.006	16.939	0.015	18.960	0.023	19.148	0.018
54736.6249	15.637	0.005	16.975	0.013	18.814	0.017	19.187	0.016
54736.6305	15.629	0.006	16.934	0.014	18.777	0.019	19.226	0.019
54747.7048	15.641	0.006	16.957	0.013	18.879	0.019	19.264	0.017
54747.7103	15.681	0.006	16.967	0.013	18.841	0.018	19.222	0.016
54756.6723	15.642	0.006	17.004	0.016	18.882	0.022	19.301	0.020
54756.6779	15.642	0.006	17.017	0.016	18.850	0.021	19.263	0.019
54759.6033	15.645	0.005	16.999	0.011	18.813	0.015	19.230	0.014
54759.6089	15.646	0.005	16.960	0.012	18.858	0.017	19.202	0.015
54767.5675	15.646	0.005	17.024	0.013	18.788	0.016	19.206	0.015
54767.5731	15.653	0.005	16.990	0.012	18.795	0.016	19.206	0.015
54772.5450	15.644	0.005	16.984	0.010	18.883	0.014	19.211	0.012
54772.5505	15.612	0.005	16.993	0.010	18.994	0.016	19.127	0.012
54773.5390	15.636	0.005	16.939	0.011	18.857	0.015	19.204	0.014
54773.5446	15.618	0.005	16.958	0.012	18.738	0.015	19.319	0.016
54788.5399	15.670	0.006	16.958	0.015	18.861	0.021	19.158	0.019
54788.5455	15.653	0.006	16.970	0.013	18.853	0.018	19.286	0.018
54796.5287	15.643	0.005	16.989	0.011	18.822	0.015	19.223	0.014
54796.5343	15.643	0.005	17.015	0.012	18.756	0.014	19.256	0.015
54800.5575	15.632	0.006	17.038	0.014	18.743	0.017	19.280	0.019
54800.5631	15.633	0.006	16.989	0.014	18.839	0.019	19.215	0.017
54802.5219	15.634	0.007	16.934	0.016	18.854	0.023	19.285	0.022
54802.5275	15.620	0.006	16.978	0.014	18.837	0.019	19.285	0.019
54809.5270	15.616	0.008	17.053	0.023	18.765	0.027	19.374	0.030
54809.5326	15.623	0.007	16.878	0.018	18.844	0.027	19.282	0.025
54945.9178	15.532	0.004	16.922	0.010	18.840	0.015	19.047	0.011
54954.8997	15.566	0.004	16.994	0.011	18.928	0.016	19.015	0.011
54954.9052	15.552	0.005	16.965	0.011	18.997	0.018	19.054	0.012
