52988.31255	-12.83561	0.00710	-12.89500	0.00777	-11.78404	0.00933	-10.43047	0.03145
52995.30600	-12.80570	0.00473	-12.86418	0.00466	-11.76767	0.00723	-10.42736	0.02184
53002.32091	-12.79833	0.00705	-12.83406	0.00379	-11.73317	0.00932	-10.45533	0.01647
53013.32044	-12.77932	0.00483	-12.75148	0.00489	-11.68157	0.01482	-10.29250	0.04443
53021.29184	-12.75228	0.00581	-12.75571	0.00581	-11.74885	0.02114	-10.43770	0.02205
53028.26665	-12.74091	0.00455	-12.73616	0.00455	-11.67692	0.00657	-10.37678	0.01740
53035.31644	-12.73273	0.00689	-12.73472	0.00418	-11.62431	0.00648	-10.37688	0.03435
53039.26013	-12.71602	0.00819	-12.72486	0.00581	-11.67276	0.00962	-10.30707	0.03354
53042.28519	-12.70077	0.00733	-12.79634	0.01417	-11.69055	0.01628	-10.34306	0.06451
53046.23613	-12.73637	0.00543	-12.76160	0.00532	-11.73236	0.01125	-10.34380	0.04503
53050.27116	-12.72707	0.00748	-12.78097	0.00339	-11.70402	0.00571	-10.36774	0.05765
53055.21519	-12.71453	0.00867	-12.76751	0.00902	-11.69854	0.01448	-10.34481	0.02016
53058.20913	-12.73327	0.00515	-12.80490	0.00508	-11.69548	0.00677	-10.30634	0.01735
53063.21332	-12.71018	0.01020	-12.77766	0.00505	-11.66927	0.01371	-10.28541	0.01966
53066.24101	-12.71215	0.00504	-12.75428	0.00496	-11.69331	0.01019	-10.21071	0.06266
53067.26139	-12.71448	0.00444	-12.78072	0.00432	-11.69086	0.01090	-10.25428	0.02871
53069.22859	-12.71803	0.00873	-12.79618	0.00401	-11.67455	0.00857	-10.29369	0.06232
53070.18768	-12.72136	0.00577	-12.79582	0.00544	-11.76212	0.01195	-10.25533	0.19861
53074.17586	-12.73165	0.02047	-12.81358	0.01104	-11.70278	0.03259	-10.26725	0.08927
53081.21656	-12.72205	0.00444	-12.84936	0.00432	-11.74780	0.00619	-10.25039	0.05335
53088.11807	-12.76718	0.00964	-12.86834	0.01009	-11.74840	0.00694	-10.19216	0.07678
53092.07597	-12.78675	0.00367	-12.87489	0.00354	-11.75828	0.00616	-10.26659	0.02167
53100.08440	-12.78030	0.00616	-12.90973	0.00556	-11.74467	0.01325	-10.18377	0.08694
53103.23701	-12.79861	0.00641	-12.91641	0.00620	-11.80448	0.00994	-10.29150	0.03868
53107.11334	-12.79632	0.00396	-12.89897	0.00384	-11.80153	0.00607	-10.14740	0.05430
53111.09791	-12.79828	0.00554	-12.88740	0.00993	-11.79939	0.00731	-10.16519	0.08463
53114.12212	-12.80741	0.00467	-12.91944	0.00456	-11.78659	0.00647	-10.14125	0.02260
53128.07520	-12.88462	0.00519	-13.00905	0.00535	-11.86501	0.00918	-10.17131	0.06603
53129.09928	-12.86961	0.00681	-12.98301	0.00660	-11.84730	0.02297	-10.19038	0.09327
53131.08055	-12.88575	0.00843	-13.01443	0.01392	-11.84111	0.01683	-10.11205	0.07704
